countryLabel,population
República Popular China,1442965000
India,1326093247
Estados Unidos,332278200
Indonesia,275439000
Pakistán,223773700
Nigeria,211400708
Brasil,203062512
Bangladés,171466990
Rusia,145975300
Etiopía,128691692
Japón,125440000
México,124777324
Egipto,114535772
Filipinas,109035343
República Democrática del Congo,105789731
Vietnam,96208984
Irán,86758304
Turquía,85372377
Alemania,84358845
Francia,68373433
Reino Unido,67326569
Tailandia,66188503
Sudáfrica,62027503
Italia,58850717
Tanzania,57310019
Birmania,53370609
Colombia,52321152
Corea del Sur,51466201
Kenia,48468138
España,47415750
Argentina,47327407
Uganda,47123531
Argelia,46164219
Afganistán,41454761
Sudán,40533330
Polonia,38382576
Irak,38274618
Marruecos,37076584
Canadá,36991981
Marruecos,36828330
Angola,36749906
Uzbekistán,34915100
Arabia Saudí,33000000
Ghana,32833031
Malasia,32447385
Costa de Marfil,31165654
Mozambique,29668834
Nepal,29164578
Venezuela,28515829
Camerún,28372687
Yemen,28250420
Australia,26473055
Corea del Norte,26418204
Madagascar,25570895
República de China,23412899
Burkina Faso,23025776
Siria,22933531
Níger,21477348
Sri Lanka,21444000
Mali,20250833
Zambia,19610769
Chile,19458000
Chad,19319064
Rumania,19053815
Kazajistán,19002586
Malaui,18622104
Países Bajos,17942942
Camboya,17423880
Guatemala,17263239
Reino de los Países Bajos,17100715
Ecuador,16938986
Senegal,16876720
Zimbabue,15178979
Benín,14111034
Burundi,13689450
Ruanda,13246394
Guinea,12717176
Sudán del Sur,12575714
Bolivia,12244159
Bélgica,11584008
Túnez,11565204
Somalia,11031386
Cuba,10985974
República Checa,10900555
República Dominicana,10760028
Suecia,10576145
Grecia,10482487
Jordania,10428241
Portugal,10347892
Azerbaiyán,10145212
Honduras,10062994
Emiratos Árabes Unidos,9890400
Israel,9840000
Hungría,9599744
Tayikistán,9504000
Bielorrusia,9155978
Papúa Nueva Guinea,8935000
Suiza,8902308
Togo,7797694
Sierra Leona,7557212
Laos,6858160
Paraguay,6811297
Bulgaria,6795803
Kirguistán,6694200
Libia,6678567
República del Congo,6142180
Turkmenistán,6117933
Líbano,6100075
El Salvador,6029976
Reino de Dinamarca,5930987
Singapur,5866139
Dinamarca,5827463
Finlandia,5608218
Noruega,5550203
Eslovaquia,5449270
Estado de Palestina,5227193
Liberia,5214030
República Centroafricana,5152421
Irlanda,5149139
Nicaragua,5142098
Nueva Zelanda,5118700
Costa Rica,5044197
Omán,4829480
Mauritania,4614974
Croacia,3871833
Bosnia y Herzegovina,3816459
Eritrea,3497000
Uruguay,3444263
Mongolia,3409939
Armenia,2930450
Lituania,2860002
Albania,2811655
Jamaica,2697983
Gambia,2639916
Qatar,2639211
Namibia,2533794
Botsuana,2480244
Eslovenia,2066880
Gabón,2025137
Lesoto,2007201
Letonia,1871882
Guinea-Bisáu,1861283
Macedonia del Norte,1836713
Kosovo,1586659
Baréin,1569666
Estonia,1374687
Trinidad y Tobago,1369125
Chipre,1344976
Mauricio,1264613
Timor Oriental,1243235
Yibuti,1152944
Fiyi,905502
Comoras,902348
Bután,787424
Guyana,777859
Luxemburgo,672050
Montenegro,617213
Islas Salomón,611343
Cabo Verde,555988
Malta,553214
Brunéi,458949
Maldivas,436330
Bahamas,399440
Chipre del Norte,390745
Islandia,364260
Vanuatu,300019
Santo Tomé y Príncipe,204327
Samoa,200010
Santa Lucía,167591
Granada,114299
San Vicente y las Granadinas,109897
Aruba,106739
Estados Federados de Micronesia,105544
Antigua y Barbuda,101489
Seychelles,95843
Andorra,85101
Dominica,74656
San Cristóbal y Nieves,55345
San Martín,43847
Liechtenstein,37922
Palaos,21729
Islas Cook,14222
Nauru,13650
Tuvalu,11792
Niue,1933
Ciudad del Vaticano,764
